ID,SurveyLanguage,GeoLocation,TimeToComplete,Consent,SituationNormal,Age,Gender,Student,Education,HHSize,HHRooms,RationCard,Radio,TV,Laptop,Toilet,Fridge,AC,Vehicle,LiveInPune,Ward,Source,RoundOne,RoundTwo,EconomyNormal,Medical,Earning,Unemployment,PercentUnemployed,WFHAbility,IncomeChange,IncomePercent,PandemicEnd,ImportanceTesting,SelfPositive,SelfSymptoms,SelfLikelihood,WaitSymptoms,OtherWaitSymptoms,HHPositive,NonHHPositive,CloseDeath,PuneLikelihood,TrueNumber,ImportanceVaccine,Vaccinated,SelfBooster,KnowVaccinated,PuneVaccinated,VirusAfterVaccine,AfterVaccineLikelihood,PunePercentUnvaccinated,PuneVaccine,SelfFear,FearDecay,PsychologyNormal,SituationStatic,SituationDynamic,ThirdWaveEnd,ThirdWavePeakMonth,ThirdWavePeakDate,ThirdWavePeakCases,FourthWave,TotalWaves,SelfInformation,OtherInformation,ImportanceMaskWearing,SelfMaskUsage,OtherMaskUsage,MaskNotNeeded,ImportanceSocialDistancing,PeopleMet,OtherMet,ImportanceLockdown,LockdownOpinions,LengthLockdown,LockdownNotNeeded,TimesHomeLeft,OtherTimesHomeLeft,TimesCrowdedPlace,OtherTimesCrowdedPlace,SelfVigilance,OtherVigilance,Songs,OtherSongs,PeopleKnown,OtherPeopleKnown,Runs,Weight,OtherWeight,Languages,LanguagesWorld,OtherLanguagesWorld,RoomDensity,SuperiorityWaitSymptom,SuperiorityMaskUsage,SuperiorityInformation,SuperiorityMet,SuperiorityTimesHomeLeft,SuperiorityTimesCrowdedPlace,SuperiorityVigilance,SuperioritySongs,SuperiorityPeopleKnown,SuperiorityWeight,SuperiorityLanguagesWorld
13289699862.0,2.0,,1027.0,1.0,1.0,41.0,2.0,2.0,5.0,3.0,4.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,13.0,1.0,2.0,2.0,20.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,20.0,1.0,2.0,1.0,11.0,6.0,6.0,1.0,1.0,2.0,5.0,20000.0,1.0,2.0,9.0,1.0,6.0,1.0,4.0,4.0,13.0,2.0,4.0,18.0,3.0,2.0,10.0,2.0,26.0,2000.0,1.0,1.0,2.0,2.0,1.0,11.0,5.0,18.0,1.0,11.0,16.0,3.0,1.0,16.0,18.0,8.0,8.0,8.0,8.0,1.0,3.0,7.0,3.0,10.0,500.0,200.0,300.0,4.0,40.0,500.0,4.0,1.3333333333333333,0.0,6.0,0.0,-5.0,0.0,0.0,-2.0,4.0,-490.0,296.0,496.0
13289241888.0,2.0,,872.0,1.0,14.0,47.0,2.0,2.0,6.0,2.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,2.0,2.0,17.0,2.0,1.0,2.0,4.0,2.0,4.0,5.0,14.0,2.0,2.0,1.0,3.0,4.0,8.0,1.0,1.0,1.0,9.0,30000.0,1.0,2.0,6.0,1.0,8.0,1.0,11.0,3.0,13.0,2.0,16.0,18.0,2.0,2.0,6.0,2.0,10.0,8000.0,14.0,3.0,2.0,3.0,1.0,11.0,6.0,18.0,1.0,4.0,13.0,3.0,1.0,17.0,18.0,4.0,8.0,1.0,5.0,1.0,3.0,7.0,4.0,5.0,15.0,60.0,200.0,2.0,90.0,5000.0,4.0,2.0,-4.0,5.0,-1.0,-9.0,-4.0,-4.0,-2.0,3.0,-10.0,198.0,4996.0
13289182250.0,1.0,,1817.0,1.0,13.0,70.0,2.0,2.0,6.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,17.0,1.0,1.0,1.0,14.0,2.0,2.0,2.0,6.0,1.0,4.0,6.0,13.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,2.0,6.0,10000.0,1.0,2.0,2.0,1.0,9.0,1.0,7.0,4.0,9.0,3.0,18.0,13.0,2.0,2.0,7.0,1.0,30.0,6000.0,14.0,2.0,3.0,3.0,1.0,11.0,8.0,13.0,1.0,7.0,11.0,3.0,2.0,1.0,13.0,8.0,8.0,2.0,5.0,1.0,3.0,6.0,4.0,100.0,200.0,200.0,70.0,4.0,100.0,1000.0,4.0,2.0,-1.0,3.0,0.0,-4.0,0.0,-3.0,-2.0,2.0,-100.0,66.0,996.0
13288342024.0,2.0,,617.0,1.0,9.0,22.0,2.0,1.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,14.0,2.0,2.0,2.0,5.0,1.0,4.0,5.0,10.0,2.0,2.0,1.0,10.0,3.0,2.0,2.0,1.0,1.0,9.0,9000.0,1.0,2.0,8.0,1.0,8.0,2.0,4.0,3.0,16.0,2.0,17.0,20.0,2.0,3.0,7.0,2.0,8.0,5000.0,12.0,3.0,2.0,3.0,1.0,11.0,6.0,10.0,1.0,8.0,6.0,3.0,3.0,1.0,6.0,8.0,5.0,1.0,5.0,2.0,3.0,6.0,3.0,5.0,5.0,200.0,170.0,2.0,200.0,10000.0,4.0,1.25,1.0,5.0,-1.0,2.0,3.0,-4.0,-1.0,3.0,0.0,168.0,9996.0
13287287097.0,2.0,,1198.0,1.0,18.0,31.0,2.0,2.0,6.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,15.0,4.0,2.0,2.0,19.0,2.0,1.0,2.0,4.0,2.0,4.0,6.0,14.0,1.0,1.0,3.0,7.0,4.0,7.0,1.0,1.0,1.0,8.0,25000.0,1.0,2.0,15.0,1.0,9.0,1.0,6.0,3.0,20.0,1.0,25.0,18.0,3.0,2.0,8.0,1.0,31.0,17000.0,1.0,1.0,2.0,2.0,1.0,11.0,7.0,19.0,2.0,3.0,11.0,2.0,1.0,17.0,6.0,3.0,6.0,2.0,6.0,1.0,3.0,5.0,3.0,40.0,50.0,250.0,200.0,4.0,50.0,5000.0,5.0,1.0,-3.0,4.0,0.0,-8.0,-3.0,-4.0,-2.0,2.0,-10.0,196.0,4995.0
13287029933.0,2.0,,774.0,1.0,4.0,65.0,1.0,2.0,6.0,2.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,3.0,5.0,6.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,9000.0,1.0,2.0,6.0,1.0,9.0,1.0,6.0,3.0,9.0,3.0,3.0,1.0,3.0,1.0,7.0,2.0,15.0,2500.0,14.0,1.0,1.0,2.0,1.0,11.0,6.0,18.0,1.0,6.0,5.0,4.0,1.0,16.0,13.0,4.0,16.0,1.0,11.0,1.0,3.0,5.0,4.0,20.0,20.0,150.0,500.0,4.0,150.0,10000.0,5.0,3.0,0.0,5.0,-1.0,1.0,-12.0,-10.0,-2.0,1.0,0.0,496.0,9995.0
13287002607.0,1.0,"15.6029428,73.9365332",24.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13286894369.0,1.0,"17.6798643,73.9886265",825.0,1.0,5.0,58.0,2.0,2.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,2.0,2.0,8.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,11.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,2.0,10.0,40000.0,1.0,2.0,6.0,1.0,9.0,1.0,10.0,3.0,9.0,3.0,3.0,13.0,2.0,2.0,9.0,2.0,15.0,9000.0,1.0,1.0,2.0,3.0,1.0,11.0,9.0,13.0,1.0,26.0,52.0,2.0,2.0,9.0,7.0,5.0,16.0,3.0,16.0,1.0,2.0,5.0,4.0,40.0,25.0,240.0,300.0,2.0,30.0,700.0,4.0,1.0,0.0,2.0,-1.0,-26.0,-11.0,-13.0,-1.0,1.0,15.0,298.0,696.0
13286177810.0,1.0,,606.0,1.0,13.0,49.0,2.0,2.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,6.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,11.0,25000.0,1.0,2.0,8.0,1.0,7.0,1.0,9.0,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
13286038589.0,1.0,,2128.0,1.0,8.0,63.0,1.0,2.0,6.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,15.0,16.0,2.0,2.0,14.0,2.0,2.0,2.0,6.0,1.0,3.0,7.0,7.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,6.0,9000.0,1.0,2.0,4.0,1.0,10.0,2.0,1.0,1.0,8.0,3.0,3.0,11.0,3.0,2.0,8.0,2.0,27.0,5000.0,1.0,1.0,1.0,1.0,1.0,11.0,8.0,11.0,2.0,6.0,11.0,2.0,2.0,17.0,10.0,4.0,11.0,3.0,7.0,1.0,2.0,6.0,4.0,50.0,50.0,200.0,200.0,4.0,300.0,7000.0,4.0,0.6666666666666666,3.0,3.0,0.0,-5.0,-7.0,-4.0,-1.0,2.0,0.0,196.0,6996.0
13286063809.0,1.0,"15.3958264,74.0117459",573.0,1.0,13.0,50.0,2.0,2.0,6.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,13.0,2.0,2.0,2.0,10.0,1.0,3.0,10.0,13.0,2.0,3.0,1.0,2.0,1.0,9.0,2.0,2.0,1.0,11.0,90000.0,1.0,2.0,7.0,1.0,6.0,2.0,4.0,11.0,11.0,3.0,7.0,19.0,1.0,3.0,10.0,4.0,8.0,30000.0,10.0,6.0,2.0,4.0,1.0,11.0,1.0,19.0,1.0,21.0,52.0,2.0,1.0,8.0,10.0,3.0,22.0,2.0,12.0,2.0,4.0,5.0,1.0,5.0,1000.0,70.0,100.0,3.0,78.0,1000.0,3.0,2.0,-8.0,10.0,-2.0,-31.0,-19.0,-10.0,-2.0,4.0,-995.0,97.0,997.0
13285946590.0,1.0,,793.0,1.0,15.0,30.0,2.0,2.0,6.0,6.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,14.0,16.0,1.0,1.0,19.0,2.0,1.0,2.0,6.0,2.0,3.0,8.0,17.0,2.0,2.0,1.0,7.0,8.0,11.0,1.0,1.0,1.0,5.0,15000.0,1.0,2.0,14.0,1.0,8.0,1.0,5.0,4.0,13.0,3.0,7.0,19.0,2.0,2.0,9.0,3.0,6.0,5000.0,14.0,4.0,1.0,2.0,1.0,11.0,8.0,19.0,1.0,11.0,26.0,2.0,1.0,18.0,1.0,2.0,8.0,2.0,11.0,1.0,3.0,5.0,4.0,100.0,200.0,180.0,100.0,3.0,100.0,3000.0,4.0,1.3333333333333333,-3.0,3.0,-1.0,-15.0,-6.0,-9.0,-2.0,1.0,-100.0,97.0,2996.0
13285647447.0,1.0,,305.0,1.0,13.0,43.0,2.0,1.0,6.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,16.0,2.0,2.0,14.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,13.0,2.0,1.0,1.0,11.0,4.0,6.0,1.0,1.0,1.0,8.0,15000.0,1.0,2.0,10.0,1.0,8.0,1.0,6.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,-2.0,,,,,,,,,,
13285469400.0,2.0,,6729.0,1.0,6.0,24.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,2.0,2.0,19.0,2.0,2.0,1.0,4.0,1.0,4.0,5.0,14.0,1.0,1.0,2.0,9.0,8.0,9.0,2.0,1.0,1.0,11.0,80000.0,1.0,2.0,5.0,1.0,10.0,1.0,6.0,3.0,7.0,2.0,6.0,1.0,2.0,2.0,7.0,4.0,7.0,5000.0,14.0,3.0,2.0,2.0,1.0,11.0,8.0,18.0,1.0,6.0,6.0,2.0,2.0,6.0,13.0,8.0,22.0,3.0,22.0,1.0,2.0,22.0,2.0,1900.0,50.0,100.0,10.0,4.0,23.0,100.0,3.0,1.0,-1.0,3.0,0.0,0.0,-14.0,-19.0,-1.0,20.0,1850.0,6.0,97.0
13284592080.0,2.0,,112.0,1.0,19.0,29.0,1.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,14.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,
13283873508.0,2.0,"18.4857417,73.8503974",1100.0,1.0,20.0,64.0,2.0,2.0,6.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,14.0,4.0,1.0,1.0,20.0,2.0,2.0,2.0,9.0,2.0,5.0,9.0,20.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,9.0,90000.0,1.0,2.0,6.0,2.0,9.0,1.0,11.0,6.0,20.0,3.0,1.0,20.0,2.0,2.0,7.0,3.0,30.0,2000.0,13.0,8.0,1.0,2.0,1.0,11.0,9.0,20.0,1.0,52.0,52.0,3.0,1.0,1.0,20.0,4.0,6.0,1.0,3.0,1.0,2.0,8.0,1.0,100.0,50.0,250.0,109.0,5.0,100.0,8000.0,1.0,2.0,0.0,2.0,-1.0,0.0,-2.0,-2.0,-1.0,7.0,50.0,104.0,7999.0
13283530940.0,2.0,,940.0,1.0,18.0,39.0,2.0,2.0,6.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,1.0,1.0,14.0,2.0,1.0,2.0,3.0,2.0,4.0,5.0,18.0,3.0,1.0,3.0,7.0,4.0,8.0,1.0,1.0,1.0,5.0,10000.0,1.0,2.0,8.0,1.0,5.0,1.0,9.0,4.0,9.0,3.0,23.0,18.0,2.0,3.0,7.0,2.0,6.0,15000.0,11.0,2.0,3.0,3.0,1.0,11.0,6.0,18.0,1.0,3.0,21.0,3.0,1.0,11.0,9.0,8.0,22.0,3.0,22.0,1.0,4.0,8.0,3.0,5.0,100.0,1500.0,150.0,3.0,37.0,3000.0,4.0,2.5,-4.0,5.0,0.0,-18.0,-14.0,-19.0,-3.0,5.0,-95.0,147.0,2996.0
13283159149.0,1.0,,1871.0,1.0,9.0,37.0,1.0,2.0,5.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,14.0,17.0,1.0,1.0,18.0,2.0,1.0,1.0,6.0,3.0,5.0,9.0,13.0,1.0,3.0,3.0,7.0,3.0,5.0,1.0,1.0,1.0,8.0,20000.0,1.0,2.0,5.0,1.0,6.0,1.0,5.0,4.0,13.0,3.0,5.0,13.0,3.0,2.0,6.0,2.0,5.0,15000.0,1.0,1.0,2.0,3.0,1.0,11.0,6.0,13.0,2.0,41.0,16.0,3.0,2.0,8.0,4.0,8.0,8.0,8.0,5.0,1.0,3.0,9.0,1.0,10.0,5.0,180.0,300.0,4.0,270.0,6500.0,2.0,0.8333333333333334,-2.0,5.0,-1.0,25.0,0.0,3.0,-2.0,8.0,5.0,296.0,6498.0
13282792850.0,1.0,"18.4684441,73.8668288",446.0,1.0,7.0,52.0,1.0,2.0,6.0,5.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,16.0,2.0,2.0,14.0,2.0,1.0,2.0,3.0,2.0,4.0,6.0,13.0,2.0,2.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,3.0,25000.0,1.0,2.0,7.0,1.0,6.0,2.0,6.0,6.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,-1.0,,,,,,,,,,
13282592874.0,2.0,"44.71843686096747,-93.18427292252365",22.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13282543295.0,2.0,,896.0,1.0,5.0,44.0,1.0,2.0,5.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,9.0,3.0,5.0,9.0,5.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,7.0,1.0,6.0,2.0,6.0,2.0,9.0,3.0,4.0,11.0,3.0,2.0,9.0,2.0,10.0,5000.0,1.0,1.0,2.0,2.0,2.0,11.0,10.0,11.0,1.0,11.0,11.0,4.0,2.0,1.0,4.0,8.0,8.0,8.0,8.0,2.0,2.0,5.0,3.0,5.0,1500.0,150.0,300.0,3.0,32.0,100.0,3.0,1.3333333333333333,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-1495.0,297.0,97.0
13282483739.0,1.0,,195.0,1.0,2.0,48.0,2.0,2.0,6.0,6.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,17.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
13282012898.0,1.0,,805.0,1.0,18.0,30.0,1.0,2.0,6.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,16.0,2.0,2.0,18.0,2.0,1.0,2.0,7.0,3.0,5.0,7.0,18.0,2.0,1.0,1.0,11.0,4.0,4.0,1.0,1.0,1.0,8.0,20000.0,1.0,2.0,6.0,1.0,10.0,1.0,11.0,3.0,13.0,4.0,16.0,18.0,4.0,2.0,5.0,1.0,31.0,10000.0,13.0,8.0,2.0,2.0,1.0,9.0,7.0,12.0,2.0,31.0,41.0,4.0,3.0,1.0,1.0,22.0,22.0,11.0,11.0,2.0,3.0,6.0,3.0,50.0,50.0,170.0,800.0,3.0,200.0,6000.0,2.0,0.8333333333333334,0.0,2.0,0.0,-10.0,0.0,0.0,-1.0,3.0,0.0,797.0,5998.0
